64:db:43,Motorola (Wuhan) Mobility Technologies Communication Co. Ltd. 
e0:cd:fd,Beijing E3Control Technology Co LTD 
00:04:5a,The Linksys Group Inc. 
00:23:67,UniControls a.s. 
d8:b1:90,Cisco Systems Inc 
74:a7:22,LG Electronics (Mobile Communications) 
00:1f:c4,ARRIS Group Inc. 
00:0b:d4,Beijing Wise Technology & Science Development Co.Ltd 
84:db:fc,Nokia 
6c:e4:ce,Villiger Security Solutions AG 
00:06:d9,IPM-Net S.p.A. 
00:1d:d7,Algolith 
54:93:59,SHENZHEN TWOWING TECHNOLOGIES CO.LTD. 
18:86:3a,DIGITAL ART SYSTEM 
00:01:61,Meta Machine Technology 
00:14:7f,Thomson Telecom Belgium 
00:17:9a,D-Link Corporation 
4c:f9:5d,HUAWEI TECHNOLOGIES CO.LTD 
00:0d:14,Vtech Innovation LP dba Advanced American Telephones 
cc:ce:1e,AVM Audiovisuelles Marketing und Computersysteme GmbH 
38:8e:e7,Fanhattan LLC 
00:e1:75,AK-Systems Ltd 
d8:42:e2,Canary Connect Inc. 
00:e0:0b,ROOFTOP COMMUNICATIONS CORP. 
00:02:88,GLOBAL VILLAGE COMMUNICATION 
00:60:5f,NIPPON UNISOFT CORPORATION 
00:0c:f2,GAMESA Eólica 
08:96:d7,AVM GmbH 
60:5f:8d,eero inc. 
c8:1e:8e,ADV Security (S) Pte Ltd 
90:0d:66,Digimore Electronics Co. Ltd 
00:03:68,Embedone Co. Ltd. 
f4:dc:41,YOUNGZONE CULTURE (SHANGHAI) CORP 
d4:31:9d,Sinwatec 
34:12:90,Treeview Co.Ltd. 
2c:a7:80,True Technologies Inc. 
b0:c2:87,Technicolor CH USA Inc. 
00:0c:9e,MemoryLink Corp. 
98:f5:a9,OHSUNG 
00:b9:f6,Shenzhen Super Rich Electronics Co.Ltd 
00:26:bb,Apple Inc. 
00:16:b3,Photonicbridges (China) Co. Ltd. 
00:18:2a,Taiwan Video & Monitor 
00:0b:87,American Reliance Inc. 
00:06:36,Jedai Broadband Networks 
94:21:97,Stalmart Technology Limited 
00:04:62,DAKOS Data & Communication Co. Ltd. 
00:60:56,NETWORK TOOLS INC. 
78:99:66,Musilab Electronics (DongGuan)Co.Ltd. 
18:66:da,Dell Inc. 
00:08:0a,Espera-Werke GmbH 
00:03:fd,Cisco Systems Inc 
00:24:d8,IlSung Precision 
00:00:fe,Annapolis Micro Systems Inc. 
00:0b:9f,Neue ELSA GmbH 
00:05:90,Swissvoice Ltd. 
00:60:b8,CORELIS Inc. 
a0:da:92,Nanjing Glarun Atten Technology Co. Ltd. 
00:11:57,Oki Electric Industry Co. Ltd. 
00:de:fb,Cisco Systems Inc 
e0:a3:ac,HUAWEI TECHNOLOGIES CO.LTD 
00:23:23,Zylin AS 
00:24:45,Adtran Inc 
00:16:58,Fusiontech Technologies Inc. 
30:49:3b,Nanjing Z-Com Wireless Co.Ltd 
f8:75:88,HUAWEI TECHNOLOGIES CO.LTD 
78:89:73,CMC 
c0:c5:20,Ruckus Wireless 
00:1c:b9,KWANG SUNG ELECTRONICS CO. LTD. 
2c:50:89,Shenzhen Kaixuan Visual Technology Co.Limited 
00:23:be,Cisco SPVTG 
00:30:d9,DATACORE SOFTWARE CORP. 
00:0b:34,ShangHai Broadband Technologies CO.LTD 
40:98:ad,Apple Inc. 
bc:44:34,Shenzhen TINNO Mobile Technology Corp. 
00:d0:ba,Cisco Systems Inc 
e4:35:93,Hangzhou GoTo technology Co.Ltd 
00:1e:82,SanDisk Corporation 
00:1f:ae,Blick South Africa (Pty) Ltd 
00:a0:53,COMPACT DEVICES INC. 
c8:a7:0a,Verizon Business 
e8:eb:11,Texas Instruments 
f4:b7:e2,Hon Hai Precision Ind. Co.Ltd. 
00:19:62,Commerciant LP 
fc:16:07,Taian Technology(Wuxi) Co.Ltd. 
ac:31:9d,Shenzhen TG-NET Botone Technology Co.Ltd. 
00:14:a8,Cisco Systems Inc 
08:00:7a,INDATA 
00:24:a9,Ag Leader Technology 
6c:fd:b9,Proware Technologies Co Ltd. 
00:30:3f,TurboComm Tech Inc. 
80:14:40,Sunlit System Technology Corp 
64:b4:73,Xiaomi Communications Co Ltd 
00:00:99,MTX INC. 
00:19:6a,MikroM GmbH 
fc:51:a4,ARRIS Group Inc. 
04:ff:51,NOVAMEDIA INNOVISION SP. Z O.O. 
00:1e:36,IPTE 
00:e0:24,GADZOOX NETWORKS 
08:00:8d,XYVISION INC. 
00:1b:eb,DMP Electronics INC. 
00:24:25,Shenzhenshi chuangzhicheng Technology Co.Ltd 
00:10:7b,Cisco Systems Inc 
9c:c8:ae,Becton Dickinson and Company 
ec:44:76,Cisco Systems Inc 
00:50:79,Private 
00:14:0e,Nortel Networks 
3c:d1:6e,Telepower Communication Co. Ltd 
00:24:e7,Plaster Networks 
40:70:4a,Power Idea Technology Limited 
00:1c:6c,30805 
0c:98:38,Xiaomi Communications Co Ltd 
00:09:81,Newport Networks 
00:21:3e,TomTom 
dc:bf:90,HUIZHOU QIAOXING TELECOMMUNICATION INDUSTRY CO.LTD. 
00:02:da,ExiO Communications Inc. 
2c:ab:00,HUAWEI TECHNOLOGIES CO.LTD 
00:17:75,TTE Germany GmbH 
40:15:97,Protect America Inc. 
f4:0b:93,BlackBerry RTS 
00:1e:30,Shireen Inc 
00:04:2d,Sarian Systems Ltd. 
20:ee:c6,Elefirst Science & Tech Co . ltd 
3c:97:7e,IPS Technology Limited 
cc:b8:f1,EAGLE KINGDOM TECHNOLOGIES LIMITED 
2c:e4:12,Sagemcom Broadband SAS 
00:30:26,HeiTel Digital Video GmbH 
00:24:fe,AVM GmbH 
00:10:37,CYQ've Technology Co. Ltd. 
a8:d0:e5,Juniper Networks 
00:0b:46,Cisco Systems Inc 
bc:6b:4d,Nokia 
2c:33:61,Apple Inc. 
